t,average_score
439,-135.04185121270294
440,-131.7254027129257
441,-130.95767838795547
442,-130.39653840197795
443,-130.58045127620818
444,-130.2985530246963
445,-129.0129135679808
446,-129.0381017109296
447,-128.42183404493946
448,-126.90770529665664
449,-126.4348857817655
450,-126.54376166770511
451,-125.94460063218395
452,-124.87630536894584
453,-121.89171932599537
454,-121.10624739842677
455,-120.85415706757931
456,-120.75861851314745
457,-120.15634635559346
458,-120.20085580465164
459,-117.73730921214026
460,-117.58925755904457
461,-115.70135443205453
462,-115.42692114156989
463,-114.89382190975488
464,-113.11243044823155
465,-112.15007204931813
466,-112.18294106882968
467,-111.00489770233092
468,-110.88287292181899
469,-109.68123257301033
470,-107.94860507390793
471,-108.52558811968525
472,-108.42981109923174
473,-108.60006062924764
474,-109.1598936233498
475,-109.67175987839104
476,-109.5490794416198
477,-109.4053436949862
478,-109.25797784045315
479,-109.03054876708879
480,-110.14188630706212
481,-111.75691817391042
482,-109.34278269810065
483,-109.04806032117087
484,-108.36383473663858
485,-107.80673306480689
486,-107.41012852466693
487,-107.2363513924797
488,-106.98661241458345
489,-107.55041953960671
490,-107.3991789200808
491,-107.34103487183984
492,-106.94231640411512
493,-106.92997238658526
494,-107.28715964386001
495,-107.25655324114223
496,-106.59777533631387
497,-106.06607638805366
498,-107.09357549908687
499,-107.00824356555293
500,-107.00561825310164
501,-107.3998279482209
502,-107.3143139521921
503,-107.3928022292339
504,-105.94460340629576
505,-104.5410172009153
506,-103.63285067886959
507,-101.69769178299597
508,-98.05000543408364
509,-96.61954143125264
510,-95.59275076385933
511,-95.60931151120457
512,-92.23877502349492
513,-93.09155330262993
514,-93.35608524808768
515,-91.08483382550975
516,-90.36589906016367
517,-87.36688756551125
518,-87.80460794864076
519,-87.93926742783003
520,-87.85163045736493
521,-87.2327944315672
522,-86.64197188315951
523,-84.07544229769124
524,-83.03871660099317
525,-82.99894124230366
526,-83.02775850272273
527,-81.77659501317126
528,-81.76531921496999
529,-81.46955871287396
530,-80.66194553325273
531,-79.3410075813482
532,-79.33621589947573
533,-78.89067284902913
534,-78.35510809097568
535,-76.11935629453487
536,-76.20490174541153
537,-75.58969666337015
538,-73.44035925469456
539,-73.57010611375686
540,-75.39622074484568
541,-73.69934852172359
542,-73.83162468412378
543,-71.09656401865792
544,-68.36284339179869
545,-68.8145721272315
546,-68.36068461008102
547,-66.07656447985686
548,-65.75635134061952
549,-65.54442084209468
550,-64.94932562033046
551,-64.74510418752779
552,-64.47188483577324
553,-66.07170410516015
554,-66.32242536344106
555,-66.03684222672302
556,-65.74624307608968
557,-65.2711039075461
558,-64.65568790513825
559,-66.31495089243926
560,-66.97555887330259
561,-66.78929820272852
562,-66.07529409192607
563,-65.4487557484354
564,-68.17408254900249
565,-67.32895950536961
566,-66.93209502333698
567,-67.60333035212503
568,-64.57003888834497
569,-64.07127855121462
570,-63.36264455121539
571,-62.71056348435207
572,-60.3398481685474
573,-60.10738267566902
574,-57.957338991491106
575,-57.86425371239303
576,-57.62095492885944
577,-57.54083511731021
578,-58.52835790694892
579,-57.935186623836564
580,-56.89336540551713
581,-56.53664290208876
582,-57.942143663597086
583,-58.430729774333614
584,-59.00353908297536
585,-58.96988764262644
586,-59.04853694706295
587,-56.5044670353424
588,-56.620966371115664
589,-52.46738531646631
590,-49.21202467069177
591,-48.85260744292409
592,-48.69791618512451
593,-48.755999152013516
594,-45.985444794686174
595,-45.38695489734202
596,-45.51293107022967
597,-44.17563460092206
598,-42.90533990053016
599,-42.8760401840665
600,-42.55673333747128
601,-42.0515506337825
602,-41.52410041896087
603,-41.260644594936686
604,-41.842692156893484
605,-41.73630298350866
606,-41.891543436789654
607,-41.27199060200713
608,-44.38994942147484
609,-46.352859094480465
610,-47.50139375730586
611,-48.137434934282545
612,-50.70385479385716
613,-47.906837027164265
614,-48.34883627417629
615,-50.378493140825576
616,-50.67957443876965
617,-54.72059006883878
618,-53.57052349598811
619,-52.95070501296342
620,-52.358599039133445
621,-49.91484929389356
622,-50.9080209718909
623,-52.91893463851754
624,-53.01017465245666
625,-52.77718131392943
626,-53.8193231330152
627,-54.682040119988514
628,-52.61524238673684
629,-50.510610246252746
630,-50.87665575386036
631,-50.00042183318041
632,-49.145492437208276
633,-48.13355523791336
634,-47.69580251955536
635,-48.645916682997786
636,-45.586903310716444
637,-45.26144506997258
638,-47.05129683219401
639,-47.177184428158014
640,-44.37305288979056
641,-45.77166528133735
642,-45.782021337561325
643,-47.77873619611406
644,-47.03097183436879
645,-47.12664816987678
646,-46.94006395038101
647,-48.94278054267031
648,-48.65350612871963
649,-47.895849234811486
650,-47.69214844803369
651,-48.53637813657058
652,-49.10117430427356
653,-49.40356896127956
654,-50.21006738164948
655,-50.576990387994776
656,-50.90447540424049
657,-49.7129227006057
658,-48.449586254124796
659,-47.94310292595853
660,-45.25399158205067
661,-46.23621723852057
662,-46.77266590394578
663,-45.501775998147885
664,-42.93214937409187
665,-43.0874281654457
666,-42.8906138901884
667,-40.815040185274555
668,-42.78958148916681
669,-42.742958689640126
670,-42.50739764116024
671,-42.56172931598619
672,-44.95729082624617
673,-44.00136709914803
674,-44.98290252734899
675,-42.88419910030464
676,-43.45629011304254
677,-43.6855463180031
678,-42.22811303206134
679,-40.921143426367145
680,-40.66443995105572
681,-40.704270729408904
682,-40.70064257930212
683,-40.044122186903905
684,-37.471446041739426
685,-36.880015610545996
686,-34.8788409799705
687,-37.740124926775465
688,-37.615612068552466
689,-38.82510107744417
690,-40.44579683699234
691,-41.01771759519317
692,-40.306577713982996
693,-40.43411209143672
694,-41.895882540703795
695,-40.99693103672277
696,-39.04288550082335
697,-40.544446368752155
698,-40.265617233149605
699,-39.93766071255829
700,-36.701888982587036
701,-37.01888250993994
702,-33.845868876887515
703,-30.798796545892955
704,-30.43488100445094
705,-31.8010441853772
706,-28.493064245710045
707,-31.419877436821388
708,-30.855897066748017
709,-30.246813131344567
710,-27.547547020932278
711,-26.585406821138132
712,-26.535496783284493
713,-25.937848644631902
714,-24.501445533504615
715,-23.991203655197168
716,-23.164483269904725
717,-18.478488676796843
718,-17.38319113768961
719,-15.559453532480315
